,Away_Behinds,Away_Goals,Away_Team,Away_Total,Crowd,Date,Day,Home_Behinds,Home_Goals,Home_Team,Home_Total,Match_Link,Month,Round,Structured_Data,Time,Venue,Year,City,station_ID,URL,Rain
2896,11 ,5,Carlton,41,13885,9,Saturday,17 ,13,Gold Coast,95,http://www.afl.com.au/match-centre/2016/3/gcfc-v-carl,April,Round 3,2016-04-09 19:25:00,7:25 pm,Metricon Stadium,2016,Gold Coast,323084007&p_stn_num=040190,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-323084007&p_stn_num=040190,0
2897,11 ,8,Fremantle,59,40555,9,Saturday,20 ,12,West Coast,92,http://www.afl.com.au/match-centre/2016/3/wce-v-fre,April,Round 3,2016-04-09 17:40:00,5:40 pm,Domain Stadium,2016,Perth,17056912&p_stn_num=009225,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-17056912&p_stn_num=009225,0
2898,11 ,20,Melbourne,131,12607,10,Sunday,10 ,21,North Melbourne,136,http://www.afl.com.au/match-centre/2016/3/nmfc-v-melb,April,Round 3,2016-04-10 13:10:00,1:10 pm,Blundstone Arena,2016,Hobart,1768364967&p_stn_num=094030,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1768364967&p_stn_num=094030,0
2899,9 ,14,Hawthorn,93,46808,10,Sunday,12 ,13,Western Bulldogs,90,http://www.afl.com.au/match-centre/2016/3/wb-v-haw,April,Round 3,2016-04-10 15:20:00,3:20 pm,Etihad Stadium,2016,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487228352&p_stn_num=086232,0
2900,14 ,7,Brisbane Lions,56,23320,10,Sunday,17 ,18,Geelong,125,http://www.afl.com.au/match-centre/2016/3/geel-v-bl,April,Round 3,2016-04-10 16:40:00,4:40 pm,Simonds Stadium,2016,Geelong,1519479636&p_stn_num=087162,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1519479636&p_stn_num=087162,0
2901,3 ,9,Richmond,57,38860,15,Friday,17 ,18,West Coast,125,http://www.afl.com.au/match-centre/2016/4/wce-v-rich,April,Round 4,2016-04-15 18:10:00,6:10 pm,Domain Stadium,2016,Perth,17056912&p_stn_num=009225,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-17056912&p_stn_num=009225,0
2902,18 ,9,Geelong,72,42723,16,Saturday,6 ,6,Essendon,42,http://www.afl.com.au/match-centre/2016/4/ess-v-geel,April,Round 4,2016-04-16 13:45:00,1:45 pm,MCG,2016,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487228352&p_stn_num=086232,0
2903,6 ,13,St Kilda,84,15173,16,Saturday,9 ,13,Hawthorn,87,http://www.afl.com.au/match-centre/2016/4/haw-v-stk,April,Round 4,2016-04-16 14:10:00,2:10 pm,University of Tasmania Stadium,2016,Launceston,1664874821&p_stn_num=091237,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1664874821&p_stn_num=091237,0
2904,10 ,14,Gold Coast,94,20041,16,Saturday,23 ,14,Brisbane Lions,107,http://www.afl.com.au/match-centre/2016/4/bl-v-gcfc,April,Round 4,2016-04-16 16:35:00,4:35 pm,Gabba,2016,Brisbane,334811501&p_stn_num=040913,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-334811501&p_stn_num=040913,0.4
2905,7 ,13,Western Bulldogs,85,27622,16,Saturday,7 ,7,Carlton,49,http://www.afl.com.au/match-centre/2016/4/carl-v-wb,April,Round 4,2016-04-16 19:25:00,7:25 pm,Etihad Stadium,2016,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487228352&p_stn_num=086232,0
2906,13 ,15,Sydney,103,51330,16,Saturday,17 ,16,Adelaide,113,http://www.afl.com.au/match-centre/2016/4/adel-v-syd,April,Round 4,2016-04-16 19:10:00,7:10 pm,Adelaide Oval,2016,Adelaide,106666407&p_stn_num=023090,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-106666407&p_stn_num=023090,0
2907,11 ,9,Port Adelaide,65,10028,17,Sunday,19 ,22,Greater Western Sydney,151,http://www.afl.com.au/match-centre/2016/4/gws-v-port,April,Round 4,2016-04-17 13:10:00,1:10 pm,Manuka Oval,2016,Canberra,986936890&p_stn_num=070246,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-986936890&p_stn_num=070246,↓
2908,6 ,16,Melbourne,102,47558,17,Sunday,13 ,9,Collingwood,67,http://www.afl.com.au/match-centre/2016/4/coll-v-melb,April,Round 4,2016-04-17 15:20:00,3:20 pm,MCG,2016,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487228352&p_stn_num=086232,0
2909,17 ,14,Fremantle,101,23393,17,Sunday,12 ,20,North Melbourne,132,http://www.afl.com.au/match-centre/2016/4/nmfc-v-fre,April,Round 4,2016-04-17 16:40:00,4:40 pm,Etihad Stadium,2016,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487228352&p_stn_num=086232,0
2910,7 ,17,Adelaide,109,45781,22,Friday,10 ,17,Hawthorn,112,http://www.afl.com.au/match-centre/2016/5/haw-v-adel,April,Round 5 (Anzac Round),2016-04-22 19:50:00,7:50 pm,MCG,2016,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487228352&p_stn_num=086232,21.0
2911,7 ,7,West Coast,49,35427,23,Saturday,16 ,12,Sydney,88,http://www.afl.com.au/match-centre/2016/5/syd-v-wce,April,Round 5 (Anzac Round),2016-04-23 13:45:00,1:45 pm,SCG,2016,Sydney,872874356&p_stn_num=066062,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-872874356&p_stn_num=066062,6.6
2912,11 ,18,North Melbourne,119,13351,23,Saturday,15 ,11,Gold Coast,81,http://www.afl.com.au/match-centre/2016/5/gcfc-v-nmfc,April,Round 5 (Anzac Round),2016-04-23 16:35:00,4:35 pm,Metricon Stadium,2016,Gold Coast,323084007&p_stn_num=040190,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-323084007&p_stn_num=040190,0
2913,7 ,10,Brisbane Lions,67,25097,23,Saturday,18 ,17,Western Bulldogs,120,http://www.afl.com.au/match-centre/2016/5/wb-v-bl,April,Round 5 (Anzac Round),2016-04-23 19:25:00,7:25 pm,Etihad Stadium,2016,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487228352&p_stn_num=086232,0
