City,Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Home Goals,Home Behinds,Away Goals,Away Behinds,Home Odds,Away Odds,Rain,URL
Melbourne,6/06/2010,14:10,Hawthorn,Port Adelaide,MCG,74,63,10,14,8,15,1.41,2.78,12.2,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
Sydney,6/06/2010,13:10,Sydney,Essendon,SCG,89,80,12,17,12,8,1.71,2.06,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-873151344&p_stn_num=066073
Melbourne,5/06/2010,19:10,North Melbourne,Brisbane,Etihad Stadium,90,89,12,18,13,11,2.35,1.56,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
Perth,5/06/2010,17:40,West Coast,Geelong,Domain Stadium,98,122,14,14,18,14,6.06,1.11,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-16771239&p_stn_num=009151
Adelaide,5/06/2010,14:40,Adelaide,Fremantle,AAMI Stadium,105,82,16,9,12,10,2.8,1.41,0.4,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-105924303&p_stn_num=023011
Melbourne,5/06/2010,14:10,Carlton,Melbourne,MCG,101,60,15,11,9,6,1.36,3.01,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
Melbourne,4/06/2010,19:40,Richmond,St Kilda,Etihad Stadium,59,97,8,11,14,13,5.69,1.12,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
Perth,30/05/2010,14:40,Fremantle,North Melbourne,Domain Stadium,139,78,21,13,11,12,1.12,5.94,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-16771239&p_stn_num=009151
Melbourne,30/05/2010,14:10,Carlton,West Coast,Etihad Stadium,105,76,15,15,11,10,1.19,4.48,0.2,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
Melbourne,30/05/2010,13:10,Hawthorn,Sydney,MCG,79,77,10,19,11,11,1.31,3.35,0.2,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
Melbourne,29/05/2010,19:10,St Kilda,Adelaide,Etihad Stadium,123,76,19,9,12,4,1.23,4.08,2.4,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
Brisbane,29/05/2010,19:10,Brisbane,Collingwood,Gabba,88,80,13,10,11,14,3.54,1.28,6.4,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-334797792&p_stn_num=040913
Adelaide,29/05/2010,14:40,Port Adelaide,Richmond,AAMI Stadium,30,77,3,12,10,17,1.18,4.61,18.6,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-105924303&p_stn_num=023011
Geelong,29/05/2010,14:10,Geelong,Melbourne,Simonds Stadium,121,67,18,13,10,7,1.04,10.25,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1519465927&p_stn_num=087162
Melbourne,28/05/2010,19:40,Essendon,Western Bulldogs,Etihad Stadium,99,90,15,9,14,6,3.2,1.33,0.4,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
Perth,23/05/2010,14:40,West Coast,St Kilda,Domain Stadium,56,91,8,8,13,13,1.99,1.75,8.4,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-16771239&p_stn_num=009151
Melbourne,23/05/2010,14:10,Carlton,Hawthorn,Etihad Stadium,60,110,8,12,16,14,1.35,3.1,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
Adelaide,23/05/2010,12:40,Adelaide,Brisbane,AAMI Stadium,93,81,13,15,11,15,2.1,1.69,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-105924303&p_stn_num=023011
Melbourne,22/05/2010,19:45,Essendon,Richmond,MCG,130,95,19,16,14,11,1.26,3.81,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
Darwin,22/05/2010,19:10,Melbourne,Port Adelaide,TIO Stadium,111,110,17,9,16,14,2.32,1.57,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-40163856&p_stn_num=014167
Sydney,22/05/2010,14:10,Sydney,Fremantle,SCG,63,100,9,9,14,16,1.68,2.13,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-873151344&p_stn_num=066073
Melbourne,22/05/2010,14:10,North Melbourne,Western Bulldogs,Etihad Stadium,57,127,7,15,20,7,4.21,1.22,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
Melbourne,21/05/2010,19:40,Collingwood,Geelong,MCG,50,86,6,14,12,14,1.95,1.78,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
Melbourne,16/05/2010,16:40,St Kilda,Essendon,Etihad Stadium,81,93,11,15,14,9,1.4,2.81,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
Adelaide,16/05/2010,14:40,Port Adelaide,Carlton,AAMI Stadium,92,118,14,8,17,16,1.82,1.92,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-105924303&p_stn_num=023011
Melbourne,16/05/2010,13:10,Richmond,Hawthorn,MCG,86,89,13,8,13,11,4.94,1.16,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
Melbourne,15/05/2010,19:10,North Melbourne,Adelaide,Etihad Stadium,84,75,12,12,11,9,1.61,2.24,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
